#t         x         v         E        delta_E/E(0)
0 0 3 18 0
0.05 0.15 3 18.0225 0.00125
0.1 0.3 2.99625 18.045 0.00250156
0.15 0.449813 2.98875 18.0676 0.00375469
0.2 0.59925 2.9775 18.0902 0.00500938
0.25 0.748125 2.96252 18.1128 0.00626564
0.3 0.896251 2.94382 18.1354 0.00752348
0.35 1.04344 2.92141 18.1581 0.00878288
0.4 1.18951 2.89533 18.1808 0.0100439
0.45 1.33428 2.86559 18.2035 0.0113064
0.5 1.47756 2.83223 18.2263 0.0125705
0.55 1.61917 2.79529 18.2491 0.0138363
0.6 1.75894 2.75481 18.2719 0.0151036
0.65 1.89668 2.71084 18.2947 0.0163724
0.7 2.03222 2.66342 18.3176 0.0176429
0.75 2.16539 2.61262 18.3405 0.018915
0.8 2.29602 2.55848 18.3634 0.0201886
0.85 2.42394 2.50108 18.3863 0.0214638
0.9 2.549 2.44049 18.4093 0.0227407
0.95 2.67102 2.37676 18.4323 0.0240191
1 2.78986 2.30998 18.4554 0.0252991
1.05 2.90536 2.24024 18.4785 0.0265807
1.1 3.01737 2.1676 18.5016 0.027864
1.15 3.12575 2.09217 18.5247 0.0291488
1.2 3.23036 2.01403 18.5478 0.0304352
1.25 3.33106 1.93327 18.571 0.0317233
1.3 3.42773 1.84999 18.5942 0.0330129
1.35 3.52023 1.7643 18.6175 0.0343042
1.4 3.60844 1.67629 18.6407 0.0355971
1.45 3.69225 1.58608 18.664 0.0368916
1.5 3.77156 1.49377 18.6874 0.0381877
1.55 3.84625 1.39949 18.7107 0.0394854
1.6 3.91622 1.30333 18.7341 0.0407848
1.65 3.98139 1.20542 18.7575 0.0420858
1.7 4.04166 1.10589 18.781 0.0433884
1.75 4.09695 1.00485 18.8045 0.0446926
1.8 4.1472 0.902424 18.828 0.0459985
1.85 4.19232 0.798744 18.8515 0.047306
1.9 4.23225 0.693936 18.8751 0.0486151
1.95 4.26695 0.588129 18.8987 0.0499259
2 4.29636 0.481456 18.9223 0.0512383
2.05 4.32043 0.374047 18.9459 0.0525523
2.1 4.33913 0.266036 18.9696 0.053868
2.15 4.35243 0.157558 18.9933 0.0551853
2.2 4.36031 0.0487468 19.0171 0.0565043
2.25 4.36275 -0.060261 19.0408 0.057825
2.3 4.35974 -0.16933 19.0647 0.0591472
2.35 4.35127 -0.278323 19.0885 0.0604712
2.4 4.33735 -0.387105 19.1123 0.0617968
