#t         x         v         E        delta_E/E(0)
0 0 3 18 0
0.05 0.15 3 18.0225 0.00125
0.1 0.299859 2.99437 18.0225 0.00124883
0.15 0.449344 2.98501 18.0225 0.00124805
0.2 0.598267 2.97191 18.0225 0.00124728
0.25 0.746442 2.9551 18.0224 0.00124652
0.3 0.893685 2.9346 18.0224 0.00124576
0.35 1.03981 2.91043 18.0224 0.00124502
0.4 1.18464 2.88262 18.0224 0.00124429
0.45 1.32798 2.85121 18.0224 0.00124357
0.5 1.46967 2.81624 18.0224 0.00124287
0.55 1.60952 2.77775 18.0224 0.00124218
0.6 1.74736 2.73579 18.0223 0.00124152
0.65 1.88301 2.69041 18.0223 0.00124088
0.7 2.01631 2.64167 18.0223 0.00124025
0.75 2.1471 2.58962 18.0223 0.00123965
0.8 2.2752 2.53434 18.0223 0.00123908
0.85 2.40045 2.4759 18.0223 0.00123853
0.9 2.52271 2.41436 18.0223 0.001238
0.95 2.64181 2.3498 18.0223 0.0012375
1 2.75761 2.2823 18.0223 0.00123703
1.05 2.86997 2.21196 18.0223 0.00123658
1.1 2.97874 2.13885 18.0223 0.00123617
1.15 3.08379 2.06307 18.0222 0.00123578
1.2 3.18498 1.98471 18.0222 0.00123541
1.25 3.2822 1.90387 18.0222 0.00123508
1.3 3.37531 1.82065 18.0222 0.00123477
1.35 3.46421 1.73515 18.0222 0.00123449
1.4 3.54877 1.64749 18.0222 0.00123424
1.45 3.6289 1.55777 18.0222 0.00123401
1.5 3.7045 1.4661 18.0222 0.0012338
1.55 3.77547 1.3726 18.0222 0.00123362
1.6 3.84172 1.27738 18.0222 0.00123346
1.65 3.90317 1.18057 18.0222 0.00123333
1.7 3.95974 1.08228 18.0222 0.00123321
1.75 4.01136 0.982646 18.0222 0.00123312
1.8 4.05797 0.881779 18.0222 0.00123304
1.85 4.09951 0.77981 18.0222 0.00123297
1.9 4.13593 0.676867 18.0222 0.00123292
1.95 4.16718 0.573078 18.0222 0.00123289
2 4.19322 0.468572 18.0222 0.00123286
2.05 4.21402 0.363482 18.0222 0.00123284
2.1 4.22955 0.257937 18.0222 0.00123283
2.15 4.2398 0.15207 18.0222 0.00123283
2.2 4.24476 0.0460129 18.0222 0.00123283
2.25 4.2444 -0.0601016 18.0222 0.00123283
2.3 4.23875 -0.166141 18.0222 0.00123283
2.35 4.2278 -0.271973 18.0222 0.00123282
