#t         x         v         E        delta_E/E(0)
0 0 3 18 0
0.05 0.15 2.99812 18 3.90625e-07
0.1 0.299813 2.9925 18 7.8125e-07
0.15 0.44925 2.98314 18 1.17188e-06
0.2 0.598126 2.97004 18 1.5625e-06
0.25 0.746254 2.95323 18 1.95313e-06
0.3 0.893449 2.93273 18 2.34375e-06
0.35 1.03953 2.90856 18 2.73438e-06
0.4 1.18431 2.88075 18.0001 3.125e-06
0.45 1.3276 2.84934 18.0001 3.51563e-06
0.5 1.46924 2.81437 18.0001 3.90626e-06
0.55 1.60904 2.77588 18.0001 4.29688e-06
0.6 1.74683 2.73392 18.0001 4.68751e-06
0.65 1.88243 2.68854 18.0001 5.07814e-06
0.7 2.01568 2.6398 18.0001 5.46876e-06
0.75 2.14641 2.58776 18.0001 5.85939e-06
0.8 2.27446 2.53248 18.0001 6.25002e-06
0.85 2.39966 2.47404 18.0001 6.64065e-06
0.9 2.52187 2.4125 18.0001 7.03127e-06
0.95 2.64092 2.34795 18.0001 7.4219e-06
1 2.75666 2.28046 18.0001 7.81253e-06
1.05 2.86896 2.21011 18.0001 8.20316e-06
1.1 2.97767 2.13701 18.0002 8.59379e-06
1.15 3.08266 2.06123 18.0002 8.98441e-06
1.2 3.1838 1.98288 18.0002 9.37504e-06
1.25 3.28095 1.90204 18.0002 9.76567e-06
1.3 3.374 1.81883 18.0002 1.01563e-05
1.35 3.46284 1.73334 18.0002 1.05469e-05
1.4 3.54734 1.64569 18.0002 1.09376e-05
1.45 3.62741 1.55598 18.0002 1.13282e-05
1.5 3.70294 1.46432 18.0002 1.17188e-05
1.55 3.77384 1.37083 18.0002 1.21094e-05
1.6 3.84002 1.27563 18.0002 1.25001e-05
1.65 3.9014 1.17883 18.0002 1.28907e-05
1.7 3.95791 1.08056 18.0002 1.32813e-05
1.75 4.00946 0.980934 18.0002 1.3672e-05
1.8 4.056 0.880085 18.0003 1.40626e-05
1.85 4.09747 0.778135 18.0003 1.44532e-05
1.9 4.13382 0.675211 18.0003 1.48439e-05
1.95 4.16499 0.571444 18.0003 1.52345e-05
2 4.19096 0.466962 18.0003 1.56251e-05
2.05 4.21169 0.361896 18.0003 1.60158e-05
2.1 4.22715 0.256378 18.0003 1.64064e-05
2.15 4.23733 0.150538 18.0003 1.6797e-05
2.2 4.24221 0.0445111 18.0003 1.71876e-05
2.25 4.24178 -0.061572 18.0003 1.75783e-05
2.3 4.23605 -0.167578 18.0003 1.79689e-05
2.35 4.22503 -0.273375 18.0003 1.83595e-05
2.4 4.20872 -0.37883 18.0003 1.87502e-05
2.45 4.18715 -0.483811 18.0003 1.91408e-05
2.5 4.16034 -0.588187 18.0004 1.95314e-05
2.55 4.12833 -0.691828 18.0004 1.99221e-05
2.6 4.09116 -0.794604 18.0004 2.03127e-05
2.65 4.04887 -0.896386 18.0004 2.07033e-05
2.7 4.00152 -0.997048 18.0004 2.1094e-05
2.75 3.94917 -1.09646 18.0004 2.14846e-05
2.8 3.89188 -1.19451 18.0004 2.18752e-05
2.85 3.82972 -1.29106 18.0004 2.22659e-05
2.9 3.76277 -1.38599 18.0004 2.26565e-05
2.95 3.69112 -1.4792 18.0004 2.30471e-05
3 3.61485 -1.57055 18.0004 2.34378e-05
3.05 3.53407 -1.65994 18.0004 2.38284e-05
3.1 3.44886 -1.74725 18.0004 2.4219e-05
3.15 3.35934 -1.83238 18.0004 2.46097e-05
3.2 3.26562 -1.91522 18.0005 2.50003e-05
3.25 3.16782 -1.99566 18.0005 2.53909e-05
3.3 3.06606 -2.07361 18.0005 2.57816e-05
3.35 2.96046 -2.14897 18.0005 2.61722e-05
3.4 2.85116 -2.22164 18.0005 2.65628e-05
3.45 2.7383 -2.29153 18.0005 2.69535e-05
3.5 2.62201 -2.35855 18.0005 2.73441e-05
3.55 2.50245 -2.42263 18.0005 2.77348e-05
3.6 2.37975 -2.48368 18.0005 2.81254e-05
3.65 2.25408 -2.54162 18.0005 2.8516e-05
3.7 2.12559 -2.59638 18.0005 2.89067e-05
3.75 1.99444 -2.6479 18.0005 2.92973e-05
3.8 1.8608 -2.6961 18.0005 2.96879e-05
3.85 1.72483 -2.74094 18.0005 3.00786e-05
3.9 1.58671 -2.78235 18.0005 3.04692e-05
3.95 1.4466 -2.82028 18.0006 3.08598e-05
4 1.30468 -2.85468 18.0006 3.12505e-05
4.05 1.16113 -2.88551 18.0006 3.16411e-05
4.1 1.01613 -2.91274 18.0006 3.20318e-05
4.15 0.869858 -2.93632 18.0006 3.24224e-05
4.2 0.722498 -2.95623 18.0006 3.2813e-05
4.25 0.574235 -2.97244 18.0006 3.32037e-05
4.3 0.425254 -2.98494 18.0006 3.35943e-05
4.35 0.275741 -2.99371 18.0006 3.39849e-05
4.4 0.125884 -2.99873 18.0006 3.43756e-05
4.45 -0.0241317 -3 18.0006 3.47662e-05
4.5 -0.174117 -2.99753 18.0006 3.51569e-05
4.55 -0.323884 -2.9913 18.0006 3.55475e-05
4.6 -0.473247 -2.98133 18.0006 3.59381e-05
4.65 -0.622018 -2.96764 18.0007 3.63288e-05
4.7 -0.770011 -2.95023 18.0007 3.67194e-05
4.75 -0.917041 -2.92914 18.0007 3.71101e-05
4.8 -1.06292 -2.90438 18.0007 3.75007e-05
4.85 -1.20748 -2.87599 18.0007 3.78913e-05
4.9 -1.35052 -2.84401 18.0007 3.8282e-05
4.95 -1.49188 -2.80847 18.0007 3.86726e-05
5 -1.63137 -2.76942 18.0007 3.90633e-05
5.05 -1.76882 -2.7269 18.0007 3.94539e-05
5.1 -1.90406 -2.68098 18.0007 3.98445e-05
5.15 -2.03692 -2.6317 18.0007 4.02352e-05
5.2 -2.16723 -2.57913 18.0007 4.06258e-05
5.25 -2.29484 -2.52334 18.0007 4.10165e-05
5.3 -2.41957 -2.46439 18.0007 4.14071e-05
5.35 -2.54128 -2.40236 18.0008 4.17977e-05
5.4 -2.6598 -2.33733 18.0008 4.21884e-05
5.45 -2.77501 -2.26937 18.0008 4.2579e-05
5.5 -2.88674 -2.19858 18.0008 4.29697e-05
5.55 -2.99487 -2.12504 18.0008 4.33603e-05
