#t         x         v         E        delta_E/E(0)
0 0 3 18 0
0.05 0.15 2.99812 18 3.90625e-07
0.1 0.299813 2.9925 18 1.56055e-06
0.15 0.44925 2.98314 18.0001 3.50392e-06
0.2 0.598126 2.97005 18.0001 6.21103e-06
0.25 0.746255 2.95324 18.0002 9.66834e-06
0.3 0.893451 2.93275 18.0002 1.38586e-05
0.35 1.03953 2.90858 18.0003 1.87608e-05
0.4 1.18431 2.88079 18.0004 2.43505e-05
0.45 1.32761 2.84939 18.0006 3.05997e-05
0.5 1.46925 2.81443 18.0007 3.74772e-05
0.55 1.60905 2.77595 18.0008 4.49487e-05
0.6 1.74684 2.734 18.001 5.29767e-05
0.65 1.88245 2.68863 18.0011 6.15212e-05
0.7 2.01571 2.63991 18.0013 7.05394e-05
0.75 2.14644 2.58788 18.0014 7.99863e-05
0.8 2.27449 2.53262 18.0016 8.98146e-05
0.85 2.3997 2.47419 18.0018 9.99752e-05
0.9 2.52191 2.41267 18.002 0.000110417
0.95 2.64097 2.34813 18.0022 0.000121089
1 2.75673 2.28066 18.0024 0.000131936
1.05 2.86904 2.21034 18.0026 0.000142906
1.1 2.97776 2.13726 18.0028 0.000153942
1.15 3.08276 2.0615 18.003 0.00016499
1.2 3.18391 1.98317 18.0032 0.000175994
1.25 3.28108 1.90235 18.0034 0.000186901
1.3 3.37414 1.81916 18.0036 0.000197654
1.35 3.46299 1.7337 18.0037 0.0002082
1.4 3.54751 1.64607 18.0039 0.000218487
1.45 3.6276 1.55638 18.0041 0.000228463
1.5 3.70315 1.46474 18.0043 0.000238079
1.55 3.77408 1.37128 18.0045 0.000247285
1.6 3.84028 1.2761 18.0046 0.000256037
1.65 3.90169 1.17932 18.0048 0.000264291
1.7 3.95821 1.08108 18.0049 0.000272004
1.75 4.00979 0.981475 18.005 0.00027914
1.8 4.05636 0.880649 18.0051 0.000285661
1.85 4.09786 0.778721 18.0052 0.000291535
1.9 4.13423 0.67582 18.0053 0.000296734
1.95 4.16544 0.572074 18.0054 0.000301231
2 4.19144 0.467613 18.0055 0.000305003
2.05 4.2122 0.362567 18.0055 0.000308032
2.1 4.2277 0.257069 18.0056 0.000310302
2.15 4.23791 0.151249 18.0056 0.000311803
2.2 4.24282 0.0452394 18.0056 0.000312527
2.25 4.24243 -0.0608263 18.0056 0.000312469
2.3 4.23674 -0.166816 18.0056 0.000311631
2.35 4.22575 -0.272597 18.0056 0.000310017
2.4 4.20948 -0.378037 18.0055 0.000307634
2.45 4.18795 -0.483005 18.0055 0.000304495
2.5 4.16118 -0.587369 18.0054 0.000300615
2.55 4.12921 -0.690999 18.0053 0.000296013
2.6 4.09208 -0.793765 18.0052 0.000290714
2.65 4.04983 -0.895539 18.0051 0.000284742
2.7 4.00252 -0.996194 18.005 0.000278129
2.75 3.95021 -1.0956 18.0049 0.000270906
2.8 3.89296 -1.19364 18.0047 0.000263111
2.85 3.83085 -1.29019 18.0046 0.000254781
2.9 3.76395 -1.38513 18.0044 0.00024596
2.95 3.69234 -1.47833 18.0043 0.00023669
3 3.61611 -1.56968 18.0041 0.000227019
3.05 3.53537 -1.65908 18.0039 0.000216994
3.1 3.4502 -1.7464 18.0037 0.000206665
3.15 3.36073 -1.83153 18.0035 0.000196085
3.2 3.26705 -1.91438 18.0033 0.000185306
3.25 3.16929 -1.99484 18.0031 0.000174382
3.3 3.06757 -2.0728 18.0029 0.000163368
3.35 2.96201 -2.14817 18.0027 0.000152318
3.4 2.85275 -2.22085 18.0025 0.000141288
3.45 2.73993 -2.29076 18.0023 0.000130333
3.5 2.62368 -2.3578 18.0022 0.000119508
3.55 2.50415 -2.4219 18.002 0.000108867
3.6 2.38149 -2.48297 18.0018 9.8463e-05
3.65 2.25585 -2.54094 18.0016 8.83481e-05
3.7 2.12739 -2.59573 18.0014 7.85728e-05
3.75 1.99628 -2.64728 18.0012 6.9186e-05
3.8 1.86266 -2.69551 18.0011 6.02347e-05
3.85 1.72672 -2.74038 18.0009 5.17635e-05
3.9 1.58863 -2.78182 18.0008 4.38148e-05
3.95 1.44854 -2.81979 18.0007 3.64284e-05
4 1.30665 -2.85423 18.0005 2.96411e-05
4.05 1.16312 -2.8851 18.0004 2.34869e-05
4.1 1.01814 -2.91236 18.0003 1.79966e-05
4.15 0.871883 -2.93599 18.0002 1.31976e-05
4.2 0.724539 -2.95594 18.0002 9.11382e-06
4.25 0.576289 -2.9722 18.0001 5.76577e-06
4.3 0.427318 -2.98475 18.0001 3.17015e-06
4.35 0.277814 -2.99356 18 1.33994e-06
4.4 0.127962 -2.99864 18 2.84275e-07
4.45 -0.0220499 -2.99996 18 8.44097e-09
4.5 -0.172034 -2.99753 18 5.13815e-07
4.55 -0.321803 -2.99136 18 1.79787e-06
4.6 -0.47117 -2.98145 18.0001 3.85419e-06
4.65 -0.619948 -2.96781 18.0001 6.67249e-06
4.7 -0.767951 -2.95046 18.0002 1.02387e-05
4.75 -0.914994 -2.92942 18.0003 1.4535e-05
4.8 -1.06089 -2.90473 18.0004 1.95398e-05
4.85 -1.20547 -2.8764 18.0005 2.52283e-05
4.9 -1.34853 -2.84447 18.0006 3.15719e-05
4.95 -1.48991 -2.80899 18.0007 3.85389e-05
5 -1.62943 -2.77 18.0008 4.60946e-05
5.05 -1.76691 -2.72754 18.001 5.42011e-05
5.1 -1.90219 -2.68168 18.0011 6.28179e-05
5.15 -2.03508 -2.63246 18.0013 7.1902e-05
5.2 -2.16543 -2.57996 18.0015 8.1408e-05
5.25 -2.29308 -2.52423 18.0016 9.12883e-05
5.3 -2.41786 -2.46534 18.0018 0.000101493
5.35 -2.53961 -2.40337 18.002 0.000111973
5.4 -2.65819 -2.3384 18.0022 0.000122673
5.45 -2.77345 -2.2705 18.0024 0.000133542
5.5 -2.88524 -2.19977 18.0026 0.000144525
5.55 -2.99343 -2.12629 18.0028 0.000155566
5.6 -3.09787 -2.05015 18.003 0.000166611
5.65 -3.19844 -1.97144 18.0032 0.000177605
5.7 -3.29502 -1.89027 18.0034 0.000188492
5.75 -3.38747 -1.80674 18.0036 0.000199218
5.8 -3.47569 -1.72095 18.0038 0.00020973
