#t         x         v         E        delta_E/E(0)
0 0 3 18 0
0.05 0.15 2.99813 18 3.90625e-07
0.1 0.299813 4.4925 40.455 1.2475
0.15 0.44925 4.48126 40.3653 1.24252
0.2 0.598126 4.46442 40.2199 1.23444
0.25 0.746255 4.442 40.0197 1.22332
0.3 0.893451 4.41403 39.7656 1.2092
0.35 1.03953 4.38054 39.4589 1.19216
0.4 1.18431 4.34157 39.1011 1.17228
0.45 1.32761 4.29718 38.6941 1.14967
0.5 1.46925 4.24742 38.2398 1.12443
0.55 1.60905 4.19234 37.7405 1.0967
0.6 1.74684 4.13203 37.1988 1.0666
0.65 1.88245 4.06655 36.6173 1.03429
0.7 2.01571 3.99599 35.9989 0.999938
0.75 2.14644 3.92043 35.3467 0.963708
0.8 2.27449 3.83997 34.6641 0.925782
0.85 2.3997 3.75471 33.9543 0.886351
0.9 2.52191 3.66476 33.221 0.845611
0.95 2.64097 3.57023 32.4678 0.803767
1 2.75673 3.47123 31.6985 0.761026
1.05 2.86904 3.3679 30.9169 0.717604
1.1 2.97776 3.26036 30.1269 0.673717
1.15 3.08276 3.14874 29.3325 0.629584
1.2 3.18391 3.03318 28.5377 0.585426
1.25 3.28108 2.91383 27.7463 0.541463
1.3 3.37414 2.79085 26.9625 0.497916
1.35 3.46299 2.66437 26.19 0.455002
1.4 3.54751 2.53456 25.4328 0.412936
1.45 3.6276 2.40158 24.6947 0.371927
1.5 3.70315 2.26561 23.9793 0.332182
1.55 3.77408 2.12679 23.2902 0.293897
1.6 3.84028 1.98533 22.6308 0.257266
1.65 3.90169 1.84138 22.0045 0.222471
1.7 3.95821 1.69512 21.4143 0.189685
1.75 4.00979 1.54675 20.8633 0.159073
1.8 4.05636 1.39645 20.3542 0.130788
1.85 4.09786 1.2444 19.8895 0.104971
1.9 4.13423 1.09079 19.4715 0.0817517
1.95 4.16544 0.935823 19.1024 0.0612452
2 4.19144 0.779684 18.784 0.0435544
2.05 4.2122 0.62257 18.5178 0.0287679
2.1 4.2277 0.464678 18.3053 0.0169594
2.15 4.23791 0.306206 18.1474 0.00818802
2.2 4.24282 0.147351 18.045 0.00249759
2.25 4.24243 -0.0116889 17.9985 -8.34422e-05
2.3 4.23674 -0.170714 18.0082 0.000457816
2.35 4.22575 -0.329525 18.0741 0.00411866
2.4 4.20948 -0.487925 18.1959 0.0108808
2.45 4.18795 -0.645715 18.3728 0.0207104
2.5 4.16118 -0.802697 18.6041 0.0335584
2.55 4.12921 -0.958676 18.8885 0.0493605
2.6 4.09208 -1.11346 19.2247 0.0680378
2.65 4.04983 -1.26685 19.6109 0.0894968
2.7 4.00252 -1.41865 20.0453 0.11363
2.75 3.95021 -1.56868 20.5257 0.140318
2.8 3.89296 -1.71675 21.0497 0.169426
2.85 3.83085 -1.86268 21.6146 0.200809
2.9 3.76395 -2.00628 22.2176 0.23431
2.95 3.69234 -2.14737 22.8557 0.269762
3 3.61611 -2.28577 23.5258 0.306987
3.05 3.53537 -2.42132 24.2244 0.3458
3.1 3.4502 -2.55384 24.9481 0.386006
3.15 3.36073 -2.68317 25.6933 0.427405
3.2 3.26705 -2.80914 26.4562 0.469789
3.25 3.16929 -2.93161 27.233 0.512947
3.3 3.06757 -3.05041 28.0199 0.556663
3.35 2.96201 -3.16539 28.8129 0.600718
3.4 2.85275 -3.27642 29.6081 0.644892
3.45 2.73993 -3.38335 30.4014 0.688965
3.5 2.62368 -3.48606 31.1889 0.732716
3.55 2.50415 -3.58441 31.9667 0.775926
3.6 2.38149 -3.67827 32.7308 0.81838
3.65 2.25585 -3.76754 33.4776 0.859865
3.7 2.12739 -3.8521 34.2031 0.900174
3.75 1.99628 -3.93184 34.9039 0.939106
3.8 1.86266 -4.00667 35.5764 0.976465
3.85 1.72672 -4.07649 36.2172 1.01207
3.9 1.58863 -4.14122 36.8231 1.04573
3.95 1.44854 -4.20077 37.3912 1.07729
4 1.30665 -4.25506 37.9185 1.10658
4.05 1.16312 -4.30404 38.4024 1.13347
4.1 1.01814 -4.34764 38.8406 1.15781
4.15 0.871883 -4.38581 39.2308 1.17949
4.2 0.724539 -4.41849 39.571 1.19839
4.25 0.576289 -4.44565 39.8597 1.21443
4.3 0.427318 -4.46725 40.0952 1.22751
4.35 0.277814 -4.48327 40.2766 1.23759
4.4 0.127962 -4.49368 40.4027 1.2446
4.45 -0.0220499 -4.49848 40.4731 1.2485
4.5 -0.172034 -4.49765 40.4873 1.2493
4.55 -0.321803 -4.4912 40.4454 1.24696
4.6 -0.47117 -4.47914 40.3474 1.24152
4.65 -0.619948 -4.46148 40.1939 1.233
4.7 -0.767951 -4.43824 39.9857 1.22143
4.75 -0.914994 -4.40945 39.7238 1.20688
4.8 -1.06089 -4.37516 39.4095 1.18942
4.85 -1.20547 -4.33539 39.0443 1.16913
4.9 -1.34853 -4.2902 38.6302 1.14612
4.95 -1.48991 -4.23965 38.1692 1.12051
5 -1.62943 -4.18381 37.6635 1.09242
5.05 -1.76691 -4.12273 37.1157 1.06199
5.1 -1.90219 -4.0565 36.5286 1.02937
5.15 -2.03508 -3.98519 35.9051 0.994727
5.2 -2.16543 -3.90891 35.2482 0.958236
5.25 -2.29308 -3.82774 34.5614 0.920077
5.3 -2.41786 -3.74178 33.8479 0.880441
5.35 -2.53961 -3.65115 33.1115 0.839526
5.4 -2.65819 -3.55596 32.3557 0.797536
5.45 -2.77345 -3.45632 31.5843 0.754682
