#t         x         v         E        delta_E/E(0)
0 0 3 22.5 0
0.01 0.03 3 22.5135 0.0006
0.02 0.059982 2.9982 22.527 0.00119892
0.03 0.089928 2.9946 22.5404 0.00179532
0.04 0.11982 2.98921 22.5537 0.00238778
0.05 0.14964 2.98202 22.5669 0.00297486
0.06 0.179371 2.97304 22.58 0.00355517
0.07 0.208993 2.96228 22.5929 0.00412731
0.08 0.238491 2.94974 22.6055 0.0046899
0.09 0.267845 2.93543 22.6179 0.0052416
0.1 0.297039 2.91936 22.6301 0.00578107
0.11 0.326054 2.90153 22.6419 0.00630704
0.12 0.354874 2.88197 22.6534 0.00681823
0.13 0.38348 2.86068 22.6646 0.00731343
0.14 0.411857 2.83767 22.6753 0.00779143
0.15 0.439987 2.81296 22.6856 0.00825109
0.16 0.467852 2.78656 22.6956 0.00869132
0.17 0.495437 2.75849 22.705 0.00911105
0.18 0.522725 2.72876 22.714 0.00950927
0.19 0.549699 2.6974 22.7224 0.00988504
0.2 0.576343 2.66442 22.7303 0.0102374
0.21 0.602641 2.62984 22.7377 0.0105656
0.22 0.628578 2.59368 22.7445 0.0108689
0.23 0.654138 2.55596 22.7508 0.0111463
0.24 0.679305 2.51671 22.7564 0.0113974
0.25 0.704064 2.47596 22.7615 0.0116215
0.26 0.728401 2.43371 22.7659 0.0118181
0.27 0.752301 2.39001 22.7697 0.0119867
0.28 0.77575 2.34487 22.7729 0.0121269
0.29 0.798733 2.29832 22.7754 0.0122383
0.3 0.821237 2.2504 22.7772 0.0123208
0.31 0.843249 2.20113 22.7784 0.012374
0.32 0.864754 2.15053 22.779 0.0123979
0.33 0.88574 2.09865 22.7788 0.0123924
0.34 0.906195 2.0455 22.778 0.0123575
0.35 0.926107 1.99113 22.7766 0.0122933
0.36 0.945462 1.93556 22.7745 0.0122
0.37 0.964251 1.87884 22.7718 0.0120778
0.38 0.982461 1.82098 22.7684 0.0119269
0.39 1.00008 1.76203 22.7643 0.0117478
0.4 1.0171 1.70203 22.7597 0.0115409
0.41 1.03351 1.641 22.7544 0.0113066
