#t         x         v         E        delta_E/E(0)
0 0 0.5 2 0
0.05 0.025 0.496934 2.00007 3.69536e-05
0.1 0.0496934 0.487756 2.00013 6.52163e-05
0.15 0.0737766 0.472578 2.00013 6.43511e-05
0.2 0.0969531 0.451587 2.00001 5.95672e-06
0.25 0.118938 0.425041 1.99972 -0.000139061
0.3 0.139461 0.393265 1.99921 -0.000392507
0.35 0.158269 0.356651 1.99848 -0.000761861
0.4 0.175131 0.315649 1.99753 -0.00123571
0.45 0.18984 0.270763 1.99643 -0.00178264
0.5 0.202214 0.222544 1.99529 -0.00235407
0.55 0.212101 0.171587 1.99422 -0.00289042
0.6 0.21938 0.118517 1.99334 -0.00332985
0.65 0.223961 0.0639872 1.99276 -0.00361779
0.7 0.225787 0.00866843 1.99257 -0.00371565
0.75 0.224836 -0.0467591 1.99279 -0.00360708
0.8 0.22112 -0.101613 1.9934 -0.00330066
0.85 0.214683 -0.15522 1.99434 -0.00282847
0.9 0.205606 -0.20692 1.99552 -0.00224089
0.95 0.194 -0.256076 1.9968 -0.00159851
1 0.180006 -0.302084 1.99807 -0.000962634
1.05 0.163798 -0.344379 1.99923 -0.000386162
1.1 0.145575 -0.382439 2.00019 9.35833e-05
1.15 0.125561 -0.415796 2.00092 0.000458811
1.2 0.104001 -0.444041 2.00142 0.000711392
1.25 0.0811614 -0.466824 2.00174 0.000869301
1.3 0.0573226 -0.483867 2.00192 0.000960206
1.35 0.0327778 -0.494959 2.00203 0.0010136
1.4 0.00782889 -0.499963 2.00211 0.00105311
1.45 -0.0172172 -0.498817 2.00218 0.0010906
1.5 -0.0420525 -0.491536 2.00225 0.00112327
1.55 -0.0663715 -0.478209 2.00227 0.00113429
1.6 -0.0898751 -0.459 2.00219 0.001097
1.65 -0.112274 -0.434144 2.00196 0.000981602
1.7 -0.133293 -0.403946 2.00153 0.000763122
1.75 -0.152673 -0.36878 2.00086 0.000428948
1.8 -0.170176 -0.329076 1.99997 -1.56909e-05
1.85 -0.185586 -0.285322 1.99891 -0.000545467
1.9 -0.198714 -0.238058 1.99777 -0.00111653
1.95 -0.209399 -0.187864 1.99666 -0.00167178
2 -0.217508 -0.135357 1.9957 -0.00214893
2.05 -0.222942 -0.081183 1.99502 -0.00249002
2.1 -0.225635 -0.0260086 1.9947 -0.00265053
2.15 -0.225552 0.0294878 1.99479 -0.00260667
2.2 -0.222694 0.0846236 1.99528 -0.00235916
2.25 -0.217098 0.138721 1.99613 -0.0019332
2.3 -0.208831 0.191113 1.99725 -0.00137431
2.35 -0.197995 0.241157 1.99852 -0.000741005
2.4 -0.184723 0.288237 1.99981 -9.55223e-05
2.45 -0.169178 0.331773 2.00101 0.000505598
2.5 -0.151553 0.37123 2.00204 0.00101948
2.55 -0.132062 0.406122 2.00284 0.00142199
2.6 -0.110946 0.43602 2.00342 0.00170905
2.65 -0.0884648 0.460556 2.00379 0.00189422
2.7 -0.0648946 0.479428 2.00401 0.00200301
2.75 -0.0405253 0.492404 2.00413 0.00206526
2.8 -0.0156566 0.499324 2.00421 0.00210724
2.85 0.00940559 0.500102 2.00429 0.002145
2.9 0.034353 0.494729 2.00436 0.00218041
2.95 0.0588789 0.483271 2.0044 0.00220071
3 0.0826814 0.465868 2.00436 0.00218164
3.05 0.105468 0.442734 2.00419 0.00209349
3.1 0.126958 0.414153 2.00382 0.00190885
3.15 0.146887 0.380478 2.00322 0.0016105
3.2 0.16501 0.342121 2.0024 0.00119768
3.25 0.181105 0.299554 2.00138 0.000689474
3.3 0.194972 0.253302 2.00025 0.000124418
3.35 0.206442 0.203932 1.99911 -0.000443647
3.4 0.215373 0.152052 1.99809 -0.00095294
3.45 0.221655 0.0982992 1.99731 -0.00134298
3.5 0.225211 0.0433357 1.99687 -0.00156406
3.55 0.225997 -0.0121629 1.99683 -0.00158524
3.6 0.224003 -0.067514 1.9972 -0.0013994
3.65 0.219254 -0.122037 1.99795 -0.00102438
3.7 0.211808 -0.17506 1.999 -0.000500101
3.75 0.201756 -0.225933 2.00024 0.000117931
3.8 0.189222 -0.274028 2.00153 0.000767469
3.85 0.174361 -0.318755 2.00278 0.00138911
3.9 0.157354 -0.359562 2.00387 0.0019349
3.95 0.138411 -0.395949 2.00475 0.00237446
4 0.117765 -0.427467 2.0054 0.00269752
4.05 0.0956695 -0.453728 2.00583 0.00291263
4.1 0.0723965 -0.474409 2.00608 0.00304235
4.15 0.0482322 -0.489255 2.00623 0.00311612
4.2 0.0234737 -0.498084 2.00632 0.00316218
4.25 -0.00157439 -0.500787 2.0064 0.00320039
4.3 -0.0266041 -0.497331 2.00647 0.00323728
4.35 -0.0513075 -0.487757 2.00653 0.00326449
4.4 -0.0753808 -0.472183 2.00652 0.00326075
4.45 -0.0985278 -0.450801 2.00639 0.00319722
4.5 -0.120464 -0.423873 2.00609 0.00304483
4.55 -0.140919 -0.39173 2.00556 0.00278236
4.6 -0.159641 -0.354768 2.00481 0.00240337
4.65 -0.176401 -0.313441 2.00384 0.00192063
4.7 -0.190991 -0.268257 2.00273 0.00136693
4.75 -0.203233 -0.219772 2.00158 0.000792108
4.8 -0.212976 -0.168581 2.00051 0.000256525
4.85 -0.220099 -0.115315 1.99964 -0.000177758
4.9 -0.224515 -0.0606289 1.99909 -0.000456595
4.95 -0.22617 -0.00519484 1.99892 -0.000542396
5 -0.225043 0.0503052 1.99916 -0.000420244
5.05 -0.221148 0.105189 1.9998 -0.000100336
5.1 -0.214533 0.15878 2.00077 0.000383686
5.15 -0.205278 0.210421 2.00196 0.000980214
5.2 -0.193499 0.259475 2.00326 0.00162795
5.25 -0.179339 0.30534 2.00453 0.00226545
5.3 -0.162972 0.347451 2.00568 0.0028403
5.35 -0.1446 0.385289 2.00663 0.00331608
5.4 -0.124449 0.41839 2.00735 0.00367616
5.45 -0.102767 0.446346 2.00785 0.00392359
5.5 -0.0798193 0.468813 2.00815 0.00407728
5.55 -0.0558893 0.485514 2.00833 0.00416543
5.6 -0.0312709 0.496244 2.00844 0.00421756
5.65 -0.00626694 0.500871 2.00851 0.00425687
5.7 0.018815 0.499337 2.00859 0.00429442
5.75 0.0436665 0.491661 2.00865 0.00432644
5.8 0.0679818 0.477937 2.00867 0.00433522
5.85 0.0914619 0.458334 2.00859 0.00429351
5.9 0.113818 0.433093 2.00834 0.00417139
5.95 0.134775 0.402524 2.00789 0.00394429
6 0.154074 0.367002 2.0072 0.00360052
6.05 0.17148 0.326965 2.00629 0.00314658
6.1 0.186777 0.282905 2.00522 0.00260921
6.15 0.199777 0.235364 2.00407 0.00203358
6.2 0.21032 0.184925 2.00296 0.00147774
6.25 0.218277 0.132211 2.00201 0.00100439
6.3 0.223549 0.0778675 2.00134 0.000671275
6.35 0.226072 0.0225646 2.00104 0.000522057
6.4 0.225814 -0.0330178 2.00116 0.000579232
6.45 0.222779 -0.0881963 2.00168 0.00084046
6.5 0.217003 -0.142292 2.00256 0.00127894
6.55 0.208558 -0.19464 2.0037 0.00184781
6.6 0.197547 -0.244595 2.00498 0.00248764
6.65 0.184106 -0.291544 2.00627 0.0031359
6.7 0.1684 -0.334908 2.00747 0.00373633
6.75 0.150622 -0.374155 2.00849 0.00424685
6.8 0.130991 -0.408801 2.00929 0.00464444
6.85 0.109748 -0.43842 2.00985 0.00492623
6.9 0.0871539 -0.462648 2.01021 0.0051068
6.95 0.0634872 -0.481186 2.01042 0.00521234
7 0.0390386 -0.493806 2.01055 0.00527289
7.05 0.014109 -0.500352 2.01063 0.00531441
7.1 -0.0109951 -0.500745 2.0107 0.00535224
7.15 -0.0359649 -0.494978 2.01077 0.00538733
7.2 -0.0604933 -0.483123 2.01081 0.00540596
7.25 -0.0842785 -0.465324 2.01077 0.00538319
7.3 -0.107028 -0.441802 2.01058 0.00528899
7.35 -0.128462 -0.412845 2.01019 0.00509623
7.4 -0.148317 -0.378808 2.00958 0.00478845
7.45 -0.166348 -0.340111 2.00873 0.00436607
7.5 -0.182333 -0.297229 2.0077 0.00384956
7.55 -0.196077 -0.250689 2.00656 0.00327886
7.6 -0.207409 -0.201064 2.00542 0.00270889
7.65 -0.216191 -0.148965 2.0044 0.00220202
7.7 -0.222313 -0.0950306 2.00364 0.00181872
7.75 -0.225702 -0.0399256 2.00322 0.00160805
7.8 -0.226314 0.0156725 2.0032 0.00159974
7.85 -0.224143 0.07108 2.0036 0.00179938
7.9 -0.219215 0.125615 2.00437 0.00218749
7.95 -0.21159 0.178607 2.00545 0.00272268
8 -0.201362 0.229405 2.0067 0.0033484
8.05 -0.188657 0.277382 2.008 0.00400189
8.1 -0.173631 0.32195 2.00925 0.00462386
8.15 -0.156469 0.362559 2.01033 0.00516701
8.2 -0.137382 0.39871 2.0112 0.005602
8.25 -0.116604 0.429959 2.01184 0.00591976
8.3 -0.0943914 0.45592 2.01226 0.00612995
8.35 -0.0710167 0.476274 2.01251 0.00625595
8.4 -0.0467676 0.49077 2.01266 0.00632754
8.45 -0.0219423 0.499231 2.01275 0.00637281
8.5 0.00315374 0.501552 2.01282 0.00641102
8.55 0.028212 0.497703 2.0129 0.00644782
8.6 0.0529242 0.487732 2.01295 0.00647386
8.65 0.0769863 0.471762 2.01293 0.0064671
8.7 0.100102 0.449989 2.0128 0.00639825
8.75 0.121988 0.42268 2.01248 0.00623832
8.8 0.142374 0.390171 2.01193 0.00596669
8.85 0.16101 0.352861 2.01116 0.00557801
8.9 0.177666 0.31121 2.01017 0.0050864
8.95 0.192137 0.26573 2.00905 0.00452608
9 0.204245 0.216979 2.0079 0.00394809
9.05 0.213842 0.165557 2.00683 0.00341355
9.1 0.220809 0.112097 2.00597 0.00298472
9.15 0.22506 0.0572568 2.00543 0.00271527
9.2 0.226543 0.00170987 2.00528 0.00264175
9.25 0.225239 -0.0538602 2.00556 0.00277761
9.3 0.221165 -0.10877 2.00622 0.00311103
9.35 0.214371 -0.162344 2.00721 0.00360681
9.4 0.204939 -0.213923 2.00842 0.00421213
9.45 0.192986 -0.262872 2.00973 0.00486501
9.5 0.17866 -0.308591 2.01101 0.00550393
9.55 0.162135 -0.350515 2.01215 0.00607696
9.6 0.143615 -0.388129 2.0131 0.00654863
9.65 0.123328 -0.420971 2.01381 0.0069035
9.7 0.101523 -0.448636 2.01429 0.00714578
9.75 0.0784688 -0.470784 2.01459 0.0072953
9.8 0.0544485 -0.487142 2.01476 0.00738078
9.85 0.0297576 -0.497509 2.01486 0.00743174
9.9 0.00469967 -0.501756 2.01494 0.00747089
9.95 -0.020417 -0.499833 2.01502 0.00750848
10 -0.0452834 -0.491761 2.01508 0.00753976
10.05 -0.0695938 -0.47764 2.01509 0.00754617
10.1 -0.0930491 -0.457643 2.015 0.00749986
10.15 -0.115361 -0.432017 2.01474 0.00737083
10.2 -0.136254 -0.401076 2.01427 0.00713497
10.25 -0.155473 -0.365201 2.01356 0.00678151
10.3 -0.172779 -0.324832 2.01264 0.00631827
10.35 -0.187962 -0.280466 2.01155 0.00577342
10.4 -0.200833 -0.232649 2.01039 0.00519342
10.45 -0.211234 -0.181968 2.00927 0.00463726
10.5 -0.219037 -0.129047 2.00834 0.00416801
10.55 -0.224146 -0.0745374 2.00769 0.00384316
10.6 -0.226499 -0.0191085 2.00741 0.00370548
10.65 -0.226066 0.0365575 2.00755 0.00377613
10.7 -0.222852 0.0917759 2.0081 0.00405113
10.75 -0.216897 0.145868 2.009 0.0045021
10.8 -0.208273 0.198167 2.01016 0.0050808
10.85 -0.197088 0.248031 2.01145 0.00572698
10.9 -0.183478 0.294846 2.01276 0.00637779
10.95 -0.167611 0.338036 2.01395 0.00697733
11 -0.149681 0.37707 2.01497 0.00748433
11.05 -0.12991 0.411468 2.01575 0.00787691
11.1 -0.10854 0.440805 2.01631 0.0081534
11.15 -0.0858344 0.464722 2.01666 0.00832942
11.2 -0.062072 0.482924 2.01686 0.00843178
11.25 -0.0375452 0.495186 2.01698 0.00849071
11.3 -0.0125557 0.501358 2.01706 0.00853183
11.35 0.0125892 0.501363 2.01714 0.00856975
11.4 0.0375801 0.495202 2.01721 0.00860444
11.45 0.0621098 0.482949 2.01724 0.00862129
11.5 0.0858764 0.464755 2.01719 0.00859463
11.55 0.108588 0.440845 2.01699 0.00849422
11.6 0.129964 0.411511 2.01659 0.00829318
11.65 0.149743 0.377114 2.01595 0.00797585
11.7 0.16768 0.338077 2.01509 0.00754388
11.75 0.183556 0.294881 2.01404 0.00701916
11.8 0.197175 0.248056 2.01289 0.00644298
11.85 0.208369 0.198178 2.01174 0.00587135
11.9 0.217 0.14586 2.01073 0.0053672
11.95 0.222963 0.0917466 2.00998 0.00499095
12 0.226183 0.0365025 2.00958 0.00479094
12.05 0.226621 -0.0191926 2.00959 0.00479569
12.1 0.224272 -0.0746538 2.01002 0.00500922
12.15 0.219164 -0.129199 2.01082 0.0054104
12.2 0.211361 -0.182157 2.01191 0.0059564
12.25 0.200957 -0.232876 2.01318 0.00658963
12.3 0.188081 -0.280733 2.01449 0.00724686
12.35 0.172891 -0.325138 2.01574 0.00786894
12.4 0.155574 -0.365547 2.01682 0.00840928
12.45 0.136343 -0.40146 2.01768 0.00883958
12.5 0.115434 -0.432436 2.0183 0.009152
12.55 0.0931045 -0.458095 2.01871 0.0093573
12.6 0.0696289 -0.47812 2.01896 0.00947965
12.65 0.0452959 -0.492265 2.0191 0.00954914
12.7 0.0204049 -0.500356 2.01919 0.00959369
12.75 -0.00473799 -0.502293 2.01926 0.00963193
12.8 -0.0298236 -0.498051 2.01934 0.00966859
12.85 -0.0545433 -0.487683 2.01939 0.00969337
12.9 -0.078593 -0.471316 2.01937 0.00968343
12.95 -0.101677 -0.449152 2.01922 0.00960907
13 -0.123511 -0.421461 2.01888 0.00944142
13.05 -0.143827 -0.388586 2.01832 0.00916051
13.1 -0.162374 -0.35093 2.01752 0.00876209
13.15 -0.178925 -0.308956 2.01652 0.00826166
13.2 -0.193276 -0.26318 2.01539 0.00769486
13.25 -0.20525 -0.214166 2.01423 0.00711392
13.3 -0.2147 -0.162515 2.01316 0.00658071
13.35 -0.221509 -0.108864 2.01232 0.00615763
13.4 -0.225594 -0.053871 2.0118 0.00589784
13.45 -0.226905 0.00178634 2.01167 0.00583682
13.5 -0.225424 0.0574238 2.01197 0.00598652
13.55 -0.221171 0.112357 2.01267 0.00633347
13.6 -0.214197 0.16591 2.01368 0.00684092
