#t         x         v         E        delta_E/E(0)
0 0 5 62.5 0
0.01 0.05 5 62.5375 0.0006
0.02 0.1 4.997 62.575 0.00120036
0.03 0.14997 4.991 62.6126 0.00180108
0.04 0.19988 4.982 62.6501 0.00240216
0.05 0.2497 4.97001 62.6877 0.0030036
0.06 0.2994 4.95503 62.7253 0.0036054
0.07 0.34895 4.93706 62.763 0.00420757
0.08 0.398321 4.91613 62.8006 0.00481009
0.09 0.447482 4.89223 62.8383 0.00541298
0.1 0.496405 4.86538 62.876 0.00601623
0.11 0.545058 4.83559 62.9137 0.00661984
0.12 0.593414 4.80289 62.9515 0.00722381
0.13 0.641443 4.76729 62.9893 0.00782814
0.14 0.689116 4.7288 63.0271 0.00843284
0.15 0.736404 4.68745 63.0649 0.0090379
0.16 0.783279 4.64327 63.1027 0.00964332
0.17 0.829711 4.59627 63.1406 0.0102491
0.18 0.875674 4.54649 63.1785 0.0108553
0.19 0.921139 4.49395 63.2164 0.0114618
0.2 0.966078 4.43868 63.2543 0.0120686
0.21 1.01047 4.38071 63.2922 0.0126759
0.22 1.05427 4.32009 63.3302 0.0132835
0.23 1.09747 4.25683 63.3682 0.0138915
0.24 1.14004 4.19098 63.4062 0.0144998
0.25 1.18195 4.12258 63.4443 0.0151085
0.26 1.22318 4.05166 63.4823 0.0157176
0.27 1.26369 3.97827 63.5204 0.016327
0.28 1.30348 3.90245 63.5585 0.0169368
0.29 1.3425 3.82424 63.5967 0.017547
0.3 1.38074 3.74369 63.6348 0.0181575
0.31 1.41818 3.66085 63.673 0.0187684
0.32 1.45479 3.57576 63.7112 0.0193796
0.33 1.49055 3.48847 63.7495 0.0199913
0.34 1.52543 3.39904 63.7877 0.0206033
0.35 1.55942 3.30751 63.826 0.0212156
0.36 1.5925 3.21394 63.8643 0.0218283
0.37 1.62464 3.1184 63.9026 0.0224414
0.38 1.65582 3.02092 63.9409 0.0230549
0.39 1.68603 2.92157 63.9793 0.0236687
0.4 1.71524 2.82041 64.0177 0.0242829
0.41 1.74345 2.71749 64.0561 0.0248975
0.42 1.77062 2.61288 64.0945 0.0255125
0.43 1.79675 2.50665 64.133 0.0261278
0.44 1.82182 2.39884 64.1715 0.0267434
0.45 1.84581 2.28953 64.21 0.0273595
0.46 1.8687 2.17878 64.2485 0.0279759
0.47 1.89049 2.06666 64.287 0.0285927
0.48 1.91116 1.95323 64.3256 0.0292098
0.49 1.93069 1.83856 64.3642 0.0298274
0.5 1.94908 1.72272 64.4028 0.0304453
0.51 1.9663 1.60578 64.4415 0.0310635
0.52 1.98236 1.4878 64.4801 0.0316822
0.53 1.99724 1.36886 64.5188 0.0323012
0.54 2.01093 1.24902 64.5575 0.0329206
0.55 2.02342 1.12837 64.5963 0.0335403
0.56 2.0347 1.00696 64.635 0.0341604
0.57 2.04477 0.884881 64.6738 0.0347809
0.58 2.05362 0.762195 64.7126 0.0354018
0.59 2.06124 0.638977 64.7514 0.036023
0.6 2.06763 0.515303 64.7903 0.0366447
0.61 2.07278 0.391245 64.8292 0.0372666
0.62 2.0767 0.266878 64.8681 0.037889
0.63 2.07936 0.142276 64.907 0.0385117
0.64 2.08079 0.0175145 64.9459 0.0391348
0.65 2.08096 -0.107333 64.9849 0.0397583
0.66 2.07989 -0.232191 65.0239 0.0403822
0.67 2.07757 -0.356984 65.0629 0.0410064
0.68 2.074 -0.481638 65.1019 0.041631
0.69 2.06918 -0.606078 65.141 0.042256
0.7 2.06312 -0.730229 65.1801 0.0428813
0.71 2.05582 -0.854016 65.2192 0.0435071
0.72 2.04728 -0.977365 65.2583 0.0441332
0.73 2.0375 -1.1002 65.2975 0.0447597
0.74 2.0265 -1.22245 65.3367 0.0453865
0.75 2.01428 -1.34404 65.3759 0.0460137
0.76 2.00084 -1.4649 65.4151 0.0466414
0.77 1.98619 -1.58495 65.4543 0.0472693
0.78 1.97034 -1.70412 65.4936 0.0478977
0.79 1.9533 -1.82234 65.5329 0.0485264
0.8 1.93507 -1.93954 65.5722 0.0491556
0.81 1.91568 -2.05564 65.6116 0.049785
0.82 1.89512 -2.17058 65.6509 0.0504149
0.83 1.87342 -2.28429 65.6903 0.0510452
0.84 1.85057 -2.3967 65.7297 0.0516758
0.85 1.82661 -2.50773 65.7692 0.0523068
0.86 1.80153 -2.61733 65.8086 0.0529382
0.87 1.77536 -2.72542 65.8481 0.0535699
0.88 1.7481 -2.83194 65.8876 0.0542021
0.89 1.71978 -2.93683 65.9272 0.0548346
0.9 1.69041 -3.04001 65.9667 0.0554675
0.91 1.66001 -3.14144 66.0063 0.0561008
0.92 1.6286 -3.24104 66.0459 0.0567345
0.93 1.59619 -3.33876 66.0855 0.0573685
0.94 1.5628 -3.43453 66.1252 0.0580029
0.95 1.52846 -3.52829 66.1649 0.0586377
0.96 1.49317 -3.62 66.2046 0.0592729
0.97 1.45697 -3.70959 66.2443 0.0599085
0.98 1.41988 -3.79701 66.284 0.0605444
0.99 1.38191 -3.8822 66.3238 0.0611807
1 1.34309 -3.96512 66.3636 0.0618174
1.01 1.30343 -4.0457 66.4034 0.0624545
1.02 1.26298 -4.12391 66.4433 0.063092
1.03 1.22174 -4.19969 66.4831 0.0637299
1.04 1.17974 -4.27299 66.523 0.0643681
1.05 1.13701 -4.34378 66.5629 0.0650067
1.06 1.09357 -4.412 66.6029 0.0656457
1.07 1.04945 -4.47761 66.6428 0.0662851
1.08 1.00468 -4.54058 66.6828 0.0669249
1.09 0.959272 -4.60086 66.7228 0.067565
1.1 0.913263 -4.65842 66.7628 0.0682056
1.11 0.866679 -4.71321 66.8029 0.0688465
1.12 0.819547 -4.76521 66.843 0.0694878
1.13 0.771895 -4.81439 66.8831 0.0701295
1.14 0.723751 -4.8607 66.9232 0.0707716
1.15 0.675144 -4.90412 66.9634 0.071414
1.16 0.626103 -4.94463 67.0036 0.0720569
1.17 0.576657 -4.9822 67.0438 0.0727001
1.18 0.526835 -5.0168 67.084 0.0733437
1.19 0.476667 -5.04841 67.1242 0.0739877
1.2 0.426183 -5.07701 67.1645 0.0746321
1.21 0.375412 -5.10258 67.2048 0.0752769
1.22 0.324387 -5.1251 67.2451 0.0759221
1.23 0.273136 -5.14457 67.2855 0.0765676
1.24 0.22169 -5.16096 67.3258 0.0772136
1.25 0.17008 -5.17426 67.3662 0.0778599
1.26 0.118338 -5.18446 67.4067 0.0785066
1.27 0.0664932 -5.19156 67.4471 0.0791537
1.28 0.0145776 -5.19555 67.4876 0.0798012
1.29 -0.0373779 -5.19643 67.5281 0.0804491
