#t         x         v         E        delta_E/E(0)
0 0 3 22.5 0
0.01 0.03 2.9991 22.5 9e-08
0.02 0.059982 2.9964 22.5 3.59784e-07
0.03 0.089928 2.9919 22.5 8.08705e-07
0.04 0.11982 2.98561 22.5 1.43568e-06
0.05 0.14964 2.97753 22.5001 2.23922e-06
0.06 0.179371 2.96766 22.5001 3.21738e-06
0.07 0.208993 2.95601 22.5001 4.36782e-06
0.08 0.238491 2.94258 22.5001 5.68778e-06
0.09 0.267845 2.92739 22.5002 7.17409e-06
0.1 0.297039 2.91044 22.5002 8.82319e-06
0.11 0.326054 2.89175 22.5002 1.06311e-05
0.12 0.354874 2.87132 22.5003 1.25935e-05
0.13 0.38348 2.84917 22.5003 1.47057e-05
0.14 0.411857 2.82531 22.5004 1.69626e-05
0.15 0.439987 2.79976 22.5004 1.93588e-05
0.16 0.467852 2.77252 22.5005 2.18886e-05
0.17 0.495437 2.74362 22.5006 2.45458e-05
0.18 0.522725 2.71308 22.5006 2.73241e-05
0.19 0.549699 2.68091 22.5007 3.02169e-05
0.2 0.576343 2.64713 22.5007 3.32171e-05
0.21 0.602641 2.61176 22.5008 3.63176e-05
0.22 0.628578 2.57482 22.5009 3.9511e-05
0.23 0.654138 2.53634 22.501 4.27896e-05
0.24 0.679305 2.49633 22.501 4.61455e-05
0.25 0.704064 2.45483 22.5011 4.95706e-05
0.26 0.728401 2.41186 22.5012 5.30569e-05
0.27 0.752301 2.36744 22.5013 5.65957e-05
0.28 0.77575 2.3216 22.5014 6.01788e-05
0.29 0.798733 2.27436 22.5014 6.37975e-05
0.3 0.821237 2.22576 22.5015 6.74431e-05
0.31 0.843249 2.17583 22.5016 7.11068e-05
0.32 0.864754 2.12459 22.5017 7.47799e-05
0.33 0.88574 2.07207 22.5018 7.84536e-05
0.34 0.906195 2.01832 22.5018 8.2119e-05
0.35 0.926107 1.96335 22.5019 8.57674e-05
0.36 0.945462 1.9072 22.502 8.93899e-05
0.37 0.964251 1.84991 22.5021 9.29779e-05
0.38 0.982461 1.79151 22.5022 9.65229e-05
0.39 1.00008 1.73203 22.5023 0.000100016
0.4 1.0171 1.67152 22.5023 0.000103449
0.41 1.03351 1.61 22.5024 0.000106815
0.42 1.0493 1.54751 22.5025 0.000110103
0.43 1.06446 1.4841 22.5025 0.000113308
0.44 1.07898 1.4198 22.5026 0.00011642
0.45 1.09286 1.35464 22.5027 0.000119434
0.46 1.10608 1.28867 22.5028 0.00012234
0.47 1.11863 1.22193 22.5028 0.000125133
0.48 1.13051 1.15446 22.5029 0.000127806
0.49 1.14172 1.08629 22.5029 0.000130352
0.5 1.15224 1.01747 22.503 0.000132766
0.51 1.16207 0.948042 22.503 0.000135041
0.52 1.1712 0.878044 22.5031 0.000137171
0.53 1.17963 0.807519 22.5031 0.000139153
0.54 1.18735 0.73651 22.5032 0.00014098
0.55 1.19436 0.665058 22.5032 0.00014265
0.56 1.20065 0.593208 22.5032 0.000144157
0.57 1.20622 0.521002 22.5033 0.000145498
0.58 1.21107 0.448483 22.5033 0.00014667
0.59 1.21519 0.375695 22.5033 0.00014767
0.6 1.21859 0.302681 22.5033 0.000148495
0.61 1.22125 0.229486 22.5034 0.000149145
0.62 1.22318 0.156154 22.5034 0.000149616
0.63 1.22437 0.0827271 22.5034 0.000149908
0.64 1.22483 0.00925108 22.5034 0.000150021
0.65 1.22456 -0.0642305 22.5034 0.000149954
0.66 1.22355 -0.137674 22.5034 0.000149707
0.67 1.2218 -0.211034 22.5034 0.00014928
0.68 1.21933 -0.284268 22.5033 0.000148675
0.69 1.21612 -0.357331 22.5033 0.000147894
0.7 1.21218 -0.43018 22.5033 0.000146938
0.71 1.20751 -0.502771 22.5033 0.000145809
0.72 1.20212 -0.57506 22.5033 0.00014451
0.73 1.19601 -0.647004 22.5032 0.000143045
0.74 1.18918 -0.71856 22.5032 0.000141416
0.75 1.18164 -0.789685 22.5031 0.000139628
0.76 1.17339 -0.860336 22.5031 0.000137684
0.77 1.16443 -0.93047 22.5031 0.000135591
0.78 1.15478 -1.00005 22.503 0.000133352
0.79 1.14443 -1.06902 22.5029 0.000130973
0.8 1.1334 -1.13736 22.5029 0.00012846
0.81 1.12169 -1.20501 22.5028 0.000125818
0.82 1.1093 -1.27194 22.5028 0.000123055
0.83 1.09625 -1.33811 22.5027 0.000120176
0.84 1.08254 -1.40347 22.5026 0.000117189
0.85 1.06818 -1.46799 22.5026 0.0001141
0.86 1.05318 -1.53163 22.5025 0.000110918
0.87 1.03755 -1.59435 22.5024 0.00010765
0.88 1.02129 -1.65612 22.5023 0.000104303
0.89 1.00442 -1.71689 22.5023 0.000100887
